height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,classification,Predict classification
7,136,952,19.429,.180,.775,1.20,171,738,142,text,text
9,5,45,.556,.378,.933,2.83,17,42,6,text,text
7,15,105,2.143,.114,.295,2.40,12,31,5,picture,text
2,538,1076,269.00,.637,.703,29.78,685,756,23,horiz,horiz
12,84,1008,7.000,.430,.703,3.52,433,709,123,text,text
14,38,532,2.714,.244,.489,2.95,130,260,44,text,text
10,131,1310,13.100,.439,.845,2.79,575,1107,206,text,text
5,63,315,12.600,.210,.914,1.47,66,288,45,text,text
10,9,90,.900,.644,.689,58.00,58,62,1,text,text
7,17,119,2.429,.336,.874,1.74,40,104,23,text,text
24,157,3768,6.542,.905,.958,18.34,3411,3609,186,text,text
11,13,143,1.182,.420,.979,2.22,60,140,27,text,text
14,416,5824,29.714,.384,.617,4.64,2234,3594,481,text,text
83,326,27058,3.928,.286,.671,7.55,7741,18149,1025,picture,picture
6,18,108,3.000,.287,.741,4.43,31,80,7,text,text
7,9,63,1.286,.317,.984,2.22,20,62,9,text,text
9,71,639,7.889,.294,.762,2.16,188,487,87,text,text
8,75,600,9.375,.228,.662,1.37,137,397,100,text,text
9,10,90,1.111,.389,.889,1.94,35,80,18,text,text
11,43,473,3.909,.336,.753,2.74,159,356,58,text,text
8,21,168,2.625,.262,.696,1.52,44,117,29,text,text
1,14,14,14.000,.643,1.00,4.50,9,14,2,horiz,horiz
11,20,220,1.818,.564,.918,8.86,124,202,14,text,text
10,83,830,8.300,.357,.813,2.28,296,675,130,text,text
8,263,2104,32.875,.154,.549,1.19,325,1156,274,text,text
2,535,1070,267.50,.564,.614,40.20,603,657,15,horiz,horiz
8,42,336,5.250,.363,.970,2.18,122,326,56,text,text
12,72,864,6.000,.638,.918,6.12,551,793,90,text,text
4,10,40,2.500,.600,.800,4.00,24,32,6,text,text
13,228,2964,17.538,.264,.942,3.29,783,2791,238,text,text
7,20,140,2.857,.429,.993,2.00,60,139,30,text,text
8,80,640,10.000,.347,.933,1.75,222,597,127,text,text
11,184,2024,16.727,.455,.760,4.72,920,1539,195,text,text
6,17,102,2.833,.245,.598,1.56,25,61,16,text,text
10,8,80,.800,.688,1.00,9.17,55,80,6,text,text
11,272,2992,24.727,.281,.680,2.00,840,2036,420,text,text
10,83,830,8.300,.266,.827,2.10,221,686,105,text,text
7,21,147,3.000,.286,.857,1.35,42,126,31,text,text
9,95,855,10.556,.284,.849,1.91,243,726,127,text,text
8,12,96,1.500,.396,.844,2.11,38,81,18,text,text
9,20,180,2.222,.550,.733,9.90,99,132,10,text,text
7,13,91,1.857,.286,.923,2.60,26,84,10,text,text
9,18,162,2.000,.241,.981,1.44,39,159,27,text,text
7,61,427,8.714,.321,.667,1.90,137,285,72,text,text
11,167,1837,15.182,.371,.800,2.86,681,1470,238,text,text
21,106,2226,5.048,.136,.396,1.99,302,881,152,text,text
8,50,400,6.250,.360,.728,1.97,144,291,73,text,text
1,145,145,145.00,.972,1.00,35.25,141,145,4,horiz,horiz
13,337,4381,25.923,.185,.751,1.58,811,3291,514,text,text
7,155,1085,22.143,.178,.614,1.46,193,666,132,text,text
5,38,190,7.600,.426,.989,1.42,81,188,57,text,text
14,12,168,.857,.661,.851,9.25,111,143,12,text,text
8,20,160,2.500,.500,1.00,2.76,80,160,29,text,text
12,117,1404,9.750,.220,.673,1.68,309,945,184,text,text
9,87,783,9.667,.444,.962,2.37,348,753,147,text,text
10,37,370,3.700,.324,.692,1.85,120,256,65,text,text
8,29,232,3.625,.401,.884,2.38,93,205,39,text,text
8,16,128,2.000,.234,.922,1.58,30,118,19,text,text
7,42,294,6.000,.262,.738,1.79,77,217,43,text,text
16,344,5504,21.500,.373,.572,5.73,2053,3146,358,text,text
1,206,206,206.00,.990,1.00,204.00,204,206,1,horiz,horiz
8,71,568,8.875,.136,.384,1.31,77,218,59,text,text
8,109,872,13.625,.219,.595,1.61,191,519,119,text,text
74,183,13542,2.473,.544,.612,127.00,7366,8289,58,text,text
8,12,96,1.500,.417,.969,2.11,40,93,19,text,text
11,24,264,2.182,.307,.795,2.08,81,210,39,text,text
6,9,54,1.500,.296,.796,1.23,16,43,13,text,text
5,280,1400,56.000,.780,.786,156.00,1092,1100,7,horiz,text
9,19,171,2.111,.550,.860,7.23,94,147,13,text,text
8,7,56,.875,.482,.946,2.70,27,53,10,text,text
10,474,4740,47.400,.187,.578,1.51,886,2740,585,text,text
1,40,40,40.000,1.00,1.00,40.00,40,40,1,horiz,horiz
9,102,918,11.333,.357,.867,2.43,328,796,135,text,text
7,79,553,11.286,.566,.967,3.56,313,535,88,text,text
6,57,342,9.500,.453,.906,2.46,155,310,63,text,text
12,23,276,1.917,.576,.790,9.94,159,218,16,text,text
6,96,576,16.000,.217,.797,1.45,125,459,86,text,text
11,104,1144,9.455,.394,.824,2.97,451,943,152,text,text
10,271,2710,27.100,.197,.748,1.38,533,2027,386,text,text
117,1,117,.009,1.00,1.00,117.00,117,117,1,vert,vert
5,92,460,18.400,.287,.604,1.38,132,278,96,text,text
6,9,54,1.500,.556,1.00,2.14,30,54,14,text,text
8,10,80,1.250,.425,.925,2.13,34,74,16,text,text
8,24,192,3.000,.323,.688,2.21,62,132,28,text,text
8,40,320,5.000,.463,.969,2.47,148,310,60,text,text
13,188,2444,14.462,.188,.710,1.67,460,1736,275,text,text
5,34,170,6.800,.141,.594,1.26,24,101,19,text,text
7,101,707,14.429,.501,.973,3.19,354,688,111,text,text
7,4,28,.571,.250,.857,1.75,7,24,4,text,text
8,245,1960,30.625,.198,.555,1.36,389,1088,286,text,text
5,16,80,3.200,.313,.813,2.08,25,65,12,text,text
5,20,100,4.000,.170,.480,1.55,17,48,11,text,text
11,64,704,5.818,.250,.597,2.00,176,420,88,text,text
8,35,280,4.375,.396,.986,1.88,111,276,59,text,text
10,52,520,5.200,.269,.850,2.00,140,442,70,text,text
11,102,1122,9.273,.223,.768,1.53,250,862,163,text,text
9,120,1080,13.333,.331,.859,1.98,358,928,181,text,text
1,177,177,177.00,.203,1.00,1.03,36,177,35,text,text
9,80,720,8.889,.333,.914,2.09,240,658,115,text,text
10,249,2490,24.900,.462,.842,3.53,1151,2097,326,text,text
13,267,3471,20.538,.401,.662,4.87,1392,2299,286,text,text
7,9,63,1.286,.286,.968,1.20,18,61,15,text,text
1,67,67,67.000,.985,1.00,66.00,66,67,1,horiz,horiz
9,15,135,1.667,.378,.963,2.43,51,130,21,text,text
4,95,380,23.750,.311,.979,1.51,118,372,78,text,text
3,537,1611,179.00,.345,.405,22.24,556,652,25,horiz,horiz
12,414,4968,34.500,.313,.734,2.30,1554,3646,675,text,text
9,16,144,1.778,.215,.764,1.55,31,110,20,text,text
6,20,120,3.333,.258,.975,1.29,31,117,24,text,text
8,8,64,1.000,.250,.672,1.60,16,43,10,text,text
8,15,120,1.875,.325,.833,1.86,39,100,21,text,text
17,350,5950,20.588,.363,.577,5.22,2162,3433,414,text,text
9,20,180,2.222,.367,.900,2.20,66,162,30,text,text
10,330,3300,33.000,.225,.771,1.44,744,2545,518,text,text
4,44,176,11.000,.267,.614,1.81,47,108,26,text,text
7,11,77,1.571,.351,.727,1.50,27,56,18,text,text
16,106,1696,6.625,.192,.593,1.49,325,1005,218,text,text
28,32,896,1.143,.459,.730,5.96,411,654,69,text,graphic
9,20,180,2.222,.361,.700,2.32,65,126,28,text,text
12,73,876,6.083,.259,.743,2.10,227,651,108,text,text
8,75,600,9.375,.328,.888,1.86,197,533,106,text,text
38,52,1976,1.368,.452,.911,3.49,894,1801,256,text,text
7,12,84,1.714,.393,.690,2.36,33,58,14,text,text
2,20,40,10.000,.675,.675,27.00,27,27,1,horiz,horiz
25,340,8500,13.600,.866,.926,16.57,7358,7872,444,text,text
1,109,109,109.00,.183,1.00,1.05,20,109,19,text,text
7,16,112,2.286,.295,.920,1.18,33,103,28,text,text
8,29,232,3.625,.453,.996,2.10,105,231,50,text,text
8,19,152,2.375,.382,.724,1.93,58,110,30,text,text
9,46,414,5.111,.338,.872,1.67,140,361,84,text,text
9,509,4581,56.556,.096,.379,1.34,439,1736,328,text,text
7,13,91,1.857,.286,.934,1.63,26,85,16,text,text
8,9,72,1.125,.389,.736,2.15,28,53,13,text,text
7,173,1211,24.714,.207,.860,1.34,251,1042,187,text,text
11,84,924,7.636,.251,.681,1.77,232,629,131,text,text
8,168,1344,21.000,.320,.909,1.76,430,1222,245,text,text
8,16,128,2.000,.359,.781,2.00,46,100,23,text,text
7,123,861,17.571,.139,.674,1.26,120,580,95,text,picture
8,152,1216,19.000,.270,.623,2.00,328,757,164,text,text
9,195,1755,21.667,.126,.383,1.53,221,673,144,text,text
7,86,602,12.286,.281,.958,1.55,169,577,109,text,text
9,20,180,2.222,.628,.856,8.07,113,154,14,text,text
7,13,91,1.857,.670,.890,7.63,61,81,8,text,text
1,7,7,7.000,1.00,1.00,7.00,7,7,1,horiz,text
7,128,896,18.286,.265,.720,1.69,237,645,140,text,text
9,78,702,8.667,.329,.896,2.10,231,629,110,text,text
11,100,1100,9.091,.269,.765,1.90,296,842,156,text,text
8,130,1040,16.250,.360,.876,2.21,374,911,169,text,text
9,520,4680,57.778,.081,.308,1.37,378,1441,276,text,text
6,10,60,1.667,.333,.750,1.54,20,45,13,text,text
10,282,2820,28.200,.191,.701,1.43,540,1977,378,text,text
9,250,2250,27.778,.360,.733,2.56,810,1649,316,text,text
7,35,245,5.000,.453,.873,2.47,111,214,45,text,text
8,22,176,2.750,.375,.909,1.78,66,160,37,text,text
8,16,128,2.000,.344,.742,1.52,44,95,29,text,text
7,9,63,1.286,.317,.810,1.54,20,51,13,text,text
8,68,544,8.500,.540,.974,3.03,294,530,97,text,text
6,7,42,1.167,.714,.857,30.00,30,36,1,text,horiz
10,23,230,2.300,.248,.678,2.19,57,156,26,text,text
7,45,315,6.429,.254,.813,1.40,80,256,57,text,text
8,109,872,13.625,.271,.864,1.83,236,753,129,text,text
10,121,1210,12.100,.370,.873,2.41,448,1056,186,text,text
8,5,40,.625,.450,1.00,3.00,18,40,6,text,text
9,150,1350,16.667,.284,.756,1.76,384,1020,218,text,text
9,157,1413,17.444,.222,.540,1.58,313,763,198,text,text
8,17,136,2.125,.309,.676,2.33,42,92,18,text,text
10,1,10,.100,1.00,1.00,10.00,10,10,1,vert,vert
11,233,2563,21.182,.245,.677,1.80,629,1734,349,text,text
9,91,819,10.111,.233,.789,1.71,191,646,112,text,text
5,2,10,.400,.800,.800,8.00,8,8,1,text,vert
17,24,408,1.412,.407,.809,4.88,166,330,34,text,text
9,174,1566,19.333,.178,.737,1.71,279,1154,163,text,text
1,17,17,17.000,1.00,1.00,17.00,17,17,1,horiz,horiz
8,59,472,7.375,.381,.873,2.77,180,412,65,text,text
8,34,272,4.250,.309,.908,1.50,84,247,56,text,text
14,410,5740,29.286,.241,.592,2.40,1382,3400,576,text,text
7,40,280,5.714,.250,.832,1.59,70,233,44,text,text
8,12,96,1.500,.583,.813,6.22,56,78,9,text,text
5,8,40,1.600,.425,.975,1.55,17,39,11,text,text
11,44,484,4.000,.308,.818,2.01,149,396,74,text,text
14,58,812,4.143,.683,.927,12.07,555,753,46,text,text
3,14,42,4.667,.381,.881,3.20,16,37,5,text,horiz
9,24,216,2.667,.213,.468,1.28,46,101,36,text,text
10,33,330,3.300,.367,.864,1.95,121,285,62,text,text
12,89,1068,7.417,.429,.879,3.50,458,939,131,text,text
8,52,416,6.500,.450,.921,2.88,187,383,65,text,text
9,20,180,2.222,.233,.500,1.62,42,90,26,text,text
8,5,40,.625,.475,1.00,2.38,19,40,8,text,text
5,15,75,3.000,.560,.920,2.21,42,69,19,text,text
9,274,2466,30.444,.158,.580,1.31,390,1431,298,text,text
10,33,330,3.300,.294,.791,1.83,97,261,53,text,text
9,18,162,2.000,.630,.944,7.29,102,153,14,text,text
